Email,Genres,Artist,Gender,Favourite
shrijitpendse@gmail.com,"['post-teen pop', 'rock', 'tropical house']","['The Weeknd', 'Post Malone']",Male,
xyz@gmail.com,"['post-teen pop', 'rock', 'tropical house']","['Martin Garrix', 'Avicii']",Female,
unknown@known.com,"['post-teen pop', 'rock', 'tropical house']","['The Weeknd', 'Taylor Swift', 'BTS']",Male,
new@login.com,"['post-teen pop', 'rock', 'tropical house']","['Rihanna', 'Travis Scott']",Male,
unknown@known.com,"['post-teen pop', 'rock', 'tropical house']","['BTS', 'Kanye West', 'Ozuna', 'XXXTENTACION']",Other,
tune@ai.com,"['post-teen pop', 'rock', 'tropical house']","['Eminem', 'Taylor Swift', 'J Balvin']",Male,
123@test.com,"['post-teen pop', 'rock', 'tropical house']","['The Weeknd', 'Post Malone']",Male,
new@login.com,"['post-teen pop', 'rock', 'tropical house']",['Taylor Swift'],[],
New@new.com,"['post-teen pop', 'rock', 'tropical house']","['The Weeknd', 'Post Malone']",Male,
diff@diff.com,"['post-teen pop', 'rock', 'tropical house']","['The Weeknd', 'Eminem', 'Juice WRLD']",Male,
was@benn.com,"['post-teen pop', 'rock', 'tropical house']","['Justin Bieber', 'Eminem', 'Kanye West']",Male,
work@now.com,"['post-teen pop', 'rock', 'tropical house']","['Marshmello', 'BTS', 'Arctic Monkeys', 'J. Cole', 'Maroon 5']",Male,
,,,,
temp@user.com,"['post-teen pop', 'rock', 'tropical house']","['Marshmello', 'Linkin Park', 'The Weeknd']",Male,
